No,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
61,11290715,521853,0.049,105790,0.043,0.203,1,0,457648,28176,55,9296239,774687,92486856,7707238
62,11290725,675541,0.063,167454,0.067,0.248,1,0,457648,20885,48,4401336,366778,92486856,7707238
63,11290760,443995,0.042,85810,0.035,0.193,1,0,457648,21439,49,0,0,92486856,7707238
64,11290770,355064,0.033,65242,0.026,0.184,1,0,457648,19421,54,0,0,92486856,7707238
65,11290780,189319,0.018,32779,0.013,0.173,1,0,457648,12563,52,0,0,92486856,7707238
66,11290810,699338,0.066,137966,0.056,0.197,1,0,457648,34747,45,6641298,553442,92486856,7707238
67,11305534,607599,0.083,110191,0.077,0.181,1,0,329016,29284,47,0,0,67607438,5633953
68,11305535,575977,0.079,119235,0.083,0.207,1,0,329016,23490,49,13106546,1092212,67607438,5633953
69,11305545,815390,0.112,168391,0.117,0.207,1,0,329016,30296,56,23032224,1919352,67607438,5633953
70,11305555,684145,0.094,128337,0.089,0.188,1,0,329016,30076,52,0,0,67607438,5633953
71,11305575,573818,0.079,114485,0.08,0.2,1,0,329016,33921,49,0,0,67607438,5633953
72,11305645,435621,0.06,87118,0.061,0.2,1,0,329016,21977,37,0,0,67607438,5633953
73,11305660,699969,0.096,125823,0.087,0.18,1,0,329016,33125,39,0,0,67607438,5633953
74,11320522,530989,0.075,93414,0.07,0.176,0,0,347171,29338,50,7538881,628240,52989213,4415768
75,11320690,580161,0.082,106636,0.079,0.184,0,0,347171,30903,34,0,0,52989213,4415768
76,11320700,367391,0.052,61851,0.046,0.168,0,0,347171,22344,51,0,0,52989213,4415768
77,11320710,537974,0.076,89723,0.067,0.167,0,0,347171,29952,55,0,0,52989213,4415768
78,11350560,624532,0.049,125564,0.047,0.201,0,0,562255,24236,43,9740532,811711,130074533,10839544
79,11350595,1095206,0.087,241518,0.091,0.221,0,0,562255,40170,40,20294232,1691186,130074533,10839544
80,11350600,1270636,0.1,315284,0.119,0.248,0,0,562255,42978,45,8498305,708192,130074533,10839544
81,11350695,1043281,0.082,227228,0.086,0.218,0,0,562255,36259,49,0,0,130074533,10839544
82,11350700,390526,0.031,88266,0.033,0.226,0,0,562255,25295,45,0,0,130074533,10839544
83,11350710,421761,0.033,88048,0.033,0.209,0,0,562255,22999,51,0,0,130074533,10839544
84,11350720,401607,0.032,90488,0.034,0.225,0,0,562255,17775,42,0,0,130074533,10839544
85,11380530,501394,0.047,95159,0.043,0.19,1,0,491979,30134,45,0,0,123951965,10329330
86,11380560,633707,0.059,131360,0.06,0.207,1,0,491979,33898,45,5246258,437188,123951965,10329330
87,11380625,1068401,0.1,227927,0.104,0.213,1,0,491979,50568,44,0,0,123951965,10329330
88,11380631,587133,0.055,120187,0.055,0.205,1,0,491979,28266,43,22800811,1900068,123951965,10329330
89,11380632,409089,0.038,73223,0.033,0.179,1,0,491979,22224,42,0,0,123951965,10329330
90,11380640,291862,0.027,55565,0.025,0.19,1,0,491979,17528,42,18473927,1539494,123951965,10329330
91,11380650,306680,0.029,65473,0.03,0.213,1,0,491979,14645,50,0,0,123951965,10329330
92,11380690,1531858,0.144,311625,0.142,0.203,1,0,491979,54932,49,14062154,1171846,123951965,10329330
93,11410520,434236,0.046,85335,0.034,0.197,1,0,325973,19413,37,6043460,503622,35376518,2948043
94,11410555,860364,0.091,229726,0.091,0.267,1,0,325973,17342,47,0,0,35376518,2948043
95,11410565,1032292,0.11,288797,0.115,0.28,1,0,325973,18807,47,11979529,998294,35376518,2948043
96,11410585,1740109,0.185,752314,0.299,0.432,1,0,325973,23260,49,0,0,35376518,2948043
97,11410615,1058703,0.112,281766,0.112,0.266,1,0,325973,40925,41,0,0,35376518,2948043
98,11410720,836877,0.089,167330,0.067,0.2,1,0,325973,34887,42,0,0,35376518,2948043
99,11440565,900235,0.078,222555,0.068,0.247,1,0,387378,40746,48,0,0,248690250,20724188
100,11440585,560104,0.048,135371,0.041,0.242,1,0,387378,23161,51,0,0,248690250,20724188
101,11440660,1999649,0.173,753498,0.229,0.377,1,0,387378,26842,42,130842315,10903526,248690250,20724188
102,11440690,468212,0.04,126055,0.038,0.269,1,0,387378,21907,53,10398207,866517,248690250,20724188
103,11440720,524758,0.045,142582,0.043,0.272,1,0,387378,20611,50,0,0,248690250,20724188
104,11440730,944500,0.082,224617,0.068,0.238,1,0,387378,40513,36,15217989,1268166,248690250,20724188
105,11440740,1152783,0.1,307098,0.093,0.266,1,0,387378,33479,43,0,0,248690250,20724188
106,11470510,1178292,0.124,276523,0.142,0.235,1,0,476588,32718,46,32811991,2734333,45162707,3763559
107,11470520,611416,0.064,140674,0.072,0.23,1,0,476588,31979,49,0,0,45162707,3763559
108,11470530,483579,0.051,106591,0.055,0.22,1,0,476588,22254,46,0,0,45162707,3763559
109,11470610,147405,0.016,27201,0.014,0.185,1,0,476588,7139,54,0,0,45162707,3763559
110,11470611,469332,0.049,79602,0.041,0.17,1,0,476588,23271,46,0,0,45162707,3763559
111,11470620,388162,0.041,79445,0.041,0.205,1,0,476588,21897,47,0,0,45162707,3763559
112,11470630,350998,0.037,70106,0.036,0.2,1,0,476588,21284,51,0,0,45162707,3763559
113,11470640,903307,0.095,179218,0.092,0.198,1,0,476588,51234,52,7194261,599522,45162707,3763559
114,11470650,817830,0.086,178151,0.091,0.218,1,0,476588,36530,44,0,0,45162707,3763559
115,11470670,453570,0.048,93113,0.048,0.205,1,0,476588,25759,48,0,0,45162707,3763559
116,11500510,780464,0.059,183782,0.062,0.235,1,0,607652,40981,36,0,0,89793977,7482831
117,11500604,344214,0.026,68936,0.023,0.2,1,0,607652,16346,46,0,0,89793977,7482831
118,11500605,316227,0.024,72638,0.024,0.23,1,0,607652,16948,59,0,0,89793977,7482831
119,11500611,827512,0.063,183753,0.062,0.222,1,0,607652,39509,44,11363776,946981,89793977,7482831
120,11500615,901089,0.068,211309,0.071,0.235,1,0,607652,46828,37,0,0,89793977,7482831
121,11500620,954615,0.072,203886,0.069,0.214,1,0,607652,27889,53,6792723,566060,89793977,7482831
122,11500630,845367,0.064,179596,0.06,0.212,1,0,607652,46613,39,5366681,447223,89793977,7482831
123,11500640,830385,0.063,185588,0.062,0.223,1,0,607652,24890,40,0,0,89793977,7482831
124,11500641,483587,0.037,91677,0.031,0.19,1,0,607652,25523,46,9649866,804156,89793977,7482831
125,11530510,849109,0.088,210471,0.101,0.248,1,0,443539,37926,53,45232034,3769336,146656722,12221394
126,11530520,387492,0.04,83778,0.04,0.216,1,0,443539,22419,55,11922477,993540,146656722,12221394
127,11530540,1091713,0.113,291349,0.139,0.267,1,0,443539,27767,33,45473367,3789447,146656722,12221394
128,11530760,409385,0.043,76577,0.037,0.187,1,0,443539,22365,53,0,0,146656722,12221394
129,11530780,1054229,0.109,206557,0.099,0.196,1,0,443539,45628,30,0,0,146656722,12221394
