No,Gu,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
300,0,11560690,328255,0.028,69007,0.026,0.21,1,0,402300,16933,50,0,0,77360565,6446714
301,0,11560700,311729,0.027,61675,0.023,0.198,1,0,402300,16968,52,0,0,77360565,6446714
302,0,11560710,361249,0.031,77537,0.029,0.215,1,0,402300,21847,52,0,0,77360565,6446714
303,0,11560720,671480,0.058,137027,0.051,0.204,1,0,402300,29834,47,0,0,77360565,6446714
304,0,11590510,1174915,0.117,322794,0.136,0.275,1,0,410138,33014,48,0,0,151724247,12643687
305,0,11590520,482664,0.048,110518,0.047,0.229,1,0,410138,14683,44,0,0,151724247,12643687
306,0,11590530,1257404,0.126,320899,0.135,0.255,1,0,410138,48428,36,19320866,1610072,151724247,12643687
307,0,11590540,554783,0.055,120547,0.051,0.217,1,0,410138,27632,53,8044782,670399,151724247,12643687
308,0,11590550,442751,0.044,99857,0.042,0.226,1,0,410138,26306,48,0,0,151724247,12643687
309,0,11590560,557836,0.056,112498,0.047,0.202,1,0,410138,30350,48,0,0,151724247,12643687
310,0,11590605,922635,0.092,241272,0.102,0.262,1,0,410138,34556,36,0,0,151724247,12643687
311,0,11590620,672461,0.067,164706,0.069,0.245,1,0,410138,23954,50,73570154,6130846,151724247,12643687
312,0,11590630,919523,0.092,185883,0.078,0.202,1,0,410138,29126,41,18983735,1581978,151724247,12643687
313,0,11590640,433937,0.043,88582,0.037,0.204,1,0,410138,24678,51,0,0,151724247,12643687
314,0,11590650,335899,0.034,76037,0.032,0.226,1,0,410138,15000,38,0,0,151724247,12643687
315,0,11590651,240275,0.024,56433,0.024,0.235,1,0,410138,13341,45,0,0,151724247,12643687
316,0,11590660,953641,0.095,217648,0.092,0.228,1,0,410138,40708,56,11575829,964652,151724247,12643687
317,0,11590670,410977,0.041,91753,0.039,0.223,1,0,410138,27430,41,20228881,1685740,151724247,12643687
318,0,11590680,655302,0.065,160532,0.068,0.245,1,0,410138,20931,52,0,0,151724247,12643687
319,0,11620525,513653,0.043,120779,0.04,0.235,1,1,522546,26607,60,0,0,175712801,14642733
320,0,11620545,225270,0.019,46753,0.016,0.208,1,1,522546,16768,47,0,0,175712801,14642733
321,0,11620565,668361,0.056,140649,0.047,0.21,1,1,522546,33688,43,0,0,175712801,14642733
322,0,11620575,682836,0.057,187582,0.063,0.275,1,1,522546,30497,56,59696638,4974720,175712801,14642733
323,0,11620585,669137,0.056,213085,0.071,0.318,1,1,522546,17940,51,0,0,175712801,14642733
324,0,11620595,874544,0.073,249116,0.083,0.285,1,1,522546,29437,44,0,0,175712801,14642733
325,0,11620605,662985,0.055,147462,0.049,0.222,1,1,522546,35930,47,16300491,1358374,175712801,14642733
326,0,11620615,359050,0.03,99481,0.033,0.277,1,1,522546,15548,51,0,0,175712801,14642733
327,0,11620625,548644,0.046,139221,0.047,0.254,1,1,522546,27860,53,0,0,175712801,14642733
328,0,11620630,603380,0.05,138782,0.047,0.23,1,1,522546,19050,43,0,0,175712801,14642733
329,0,11620645,617235,0.052,163009,0.055,0.264,1,1,522546,23656,53,50804914,4233743,175712801,14642733
330,0,11620655,392090,0.033,101902,0.034,0.26,1,1,522546,20036,48,0,0,175712801,14642733
331,0,11620665,447668,0.037,103247,0.035,0.231,1,1,522546,25333,41,0,0,175712801,14642733
332,0,11620685,540861,0.045,140634,0.047,0.26,1,1,522546,22242,44,48910758,4075897,175712801,14642733
333,0,11620695,750162,0.063,227571,0.076,0.303,1,1,522546,21559,48,0,0,175712801,14642733
334,0,11620715,269729,0.023,53138,0.018,0.197,1,1,522546,16909,49,0,0,175712801,14642733
335,0,11620725,588646,0.049,144330,0.048,0.245,1,1,522546,19992,33,0,0,175712801,14642733
336,0,11620735,977798,0.082,256011,0.086,0.262,1,1,522546,24644,51,0,0,175712801,14642733
337,0,11620745,552518,0.046,106782,0.036,0.193,1,1,522546,26992,51,0,0,175712801,14642733
338,0,11620765,560811,0.047,116952,0.039,0.209,1,1,522546,33531,45,0,0,175712801,14642733
339,0,11620775,458762,0.038,87277,0.029,0.19,1,1,522546,30240,45,0,0,175712801,14642733
340,0,11650510,834837,0.057,200676,0.057,0.24,1,1,446838,21600,48,0,0,203402944,16950245
341,0,11650520,1085396,0.075,310896,0.089,0.286,1,1,446838,17413,37,0,0,203402944,16950245
342,0,11650530,1629530,0.112,392763,0.112,0.241,1,1,446838,30314,43,79416728,6618061,203402944,16950245
343,0,11650531,1106288,0.076,333422,0.095,0.301,1,1,446838,30413,42,0,0,203402944,16950245
344,0,11650540,955144,0.066,233736,0.067,0.245,1,1,446838,34993,50,9014212,751184,203402944,16950245
345,0,11650550,239703,0.016,47920,0.014,0.2,1,1,446838,12843,44,0,0,203402944,16950245
346,0,11650560,861399,0.059,236076,0.067,0.274,1,1,446838,28864,59,57818448,4818204,203402944,16950245
